"";"be";"response";"ncomp";"rmse";"r_squared";"smpl";"model";"rmse_sd"
"212";"HEG";"cover_bare_soil_pc";2;7,64087697869868;0,46186785298706;1;"Model_0_RE";0,786137648330397
"213";"HEG";"cover_bare_soil_pc";1;8,79138179943954;0,455786772737016;1;"Model_2_LUI";0,904508243314645
"214";"HEG";"cover_bare_soil_pc";3;8,5928258724273;0,351176158344593;1;"Model_4_CLIMALUI";0,884079660318398
"215";"HEG";"cover_bare_soil_pc";2;7,79499408850187;0,339653116572026;3;"Model_4_CLIMALUI";0,801994108603992
"216";"HEG";"cover_bare_soil_pc";2;7,71496885559462;0,3791352675169;4;"Model_4_CLIMALUI";0,793760649463087
"217";"HEG";"cover_bare_soil_pc";1;7,6014327803402;0,306008255758671;5;"Model_4_CLIMALUI";0,78207940090353
"218";"HEG";"cover_bare_soil_pc";1;8,8649408335616;0,329212297599371;2;"Model_2_LUI";0,912076422498708
"219";"HEG";"cover_bare_soil_pc";1;8,47405741822278;0,362620995085627;3;"Model_2_LUI";0,87186007432788
"220";"HEG";"cover_bare_soil_pc";1;8,33454790465478;0,429311478425846;4;"Model_2_LUI";0,857506528102517
"221";"HEG";"cover_bare_soil_pc";3;7,38138534958456;0,581347035636843;2;"Model_5_RECLIMALUI";0,759439647611121
"222";"HEG";"cover_bare_soil_pc";3;6,62410895991595;0,480274651113034;1;"Model_3_RELUI";0,681526669589113
"223";"HEG";"cover_bare_soil_pc";3;7,38138534958456;0,581347035636843;2;"Model_3_RELUI";0,759439647611121
"224";"HEG";"cover_bare_soil_pc";1;8,04216492423229;0,249659107720384;3;"Model_3_RELUI";0,827424474788223
"225";"HEG";"cover_bare_soil_pc";3;6,59854999914859;0,568128325716891;4;"Model_3_RELUI";0,678897015772223
"226";"HEG";"cover_bare_soil_pc";3;7,99904765854416;0,423530704823743;2;"Model_4_CLIMALUI";0,822988320935072
"227";"HEG";"cover_bare_soil_pc";3;7,3651573027266;0,457382409646431;1;"Model_1_RE";0,757770012223786
"228";"HEG";"cover_bare_soil_pc";2;8,17095533356728;0,536369829951778;2;"Model_1_RE";0,840675177528808
"229";"HEG";"cover_bare_soil_pc";1;8,40171089221275;0,363295050811159;3;"Model_1_RE";0,864416644996278
"230";"HEG";"cover_bare_soil_pc";1;8,49570256127184;0,358716987587016;5;"Model_2_LUI";0,874087051925058
"231";"HEG";"cover_bare_soil_pc";2;7,77132609651069;0,421965787105403;3;"Model_5_RECLIMALUI";0,799559008599566
"232";"HEG";"cover_bare_soil_pc";3;6,803374966347;0,448804784867493;4;"Model_5_RECLIMALUI";0,699970593907509
"233";"HEG";"cover_bare_soil_pc";3;7,42614975052781;0,51353707596686;5;"Model_5_RECLIMALUI";0,7640452682728
"234";"HEG";"cover_bare_soil_pc";3;8,00318674166801;0,490436612514567;2;"Model_0_RE";0,823414173763524
"235";"HEG";"cover_bare_soil_pc";3;7,45063903082574;0,528577221946162;5;"Model_3_RELUI";0,766564867171773
"236";"HEG";"cover_bare_soil_pc";2;8,77398147001527;0,333849220154539;4;"Model_0_RE";0,902717996711814
"237";"HEG";"cover_bare_soil_pc";3;6,70558591972634;0,568746353836326;5;"Model_0_RE";0,689909490796288
"238";"HEG";"cover_bare_soil_pc";1;8,50174009378296;0,39260505417936;4;"Model_1_RE";0,87470822821454
"239";"HEG";"cover_bare_soil_pc";3;6,79274583432271;0,538905893777962;5;"Model_1_RE";0,698877007284316
